CNTSCHID,CNTSTUID,BOOKID,EFFORT_TT,qq_time,qq_items,ldw_n,ldw_credit,ldw_mc,ldw_dis,ldw_nr,ldw_time,SPATH,MPATH,RDESIGN,sci_n,sci_credit,sci_mc,sci_nr,math_n,math_credit,math_mc,math_nr,read_n,read_credit,read_mc,read_nr,CNT,STRATUM,REGION,SC001Q01TA,SC013Q01TA,SCHLTYPE,PRIVATESCH,SCHSIZE_Q,CLSIZE,TOTAT_Q,STRATIO_Q,SCRATIO_Q,SCHSEL,ABGSCIE,PROATCE,EDULEAD,NEGSCLIM,STAFFSHORT,EDUSHORT,DIGPREP,AVLRSOFT,ENCOURPG,STDTEST,TDTEST,W_NRASCHBWT,SENSCWT,vung
70400001,70400036,7.0,58.0,2038.0,71.0,0.0,0.0,,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,,0.0,24.0,12.0,0.5,1.0,38.0,19.0,0.5,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400037,4.0,53.0,1852.0,71.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,24.0,10.0,0.4166666666666667,0.0,0.0,0.0,,0.0,51.0,41.0,0.803921568627451,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400038,4.0,69.0,1897.0,71.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,26.0,13.0,0.5,0.0,0.0,0.0,,0.0,44.0,31.0,0.7045454545454546,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400039,8.0,58.0,2117.0,71.0,0.0,0.0,,0.0,0.0,,0.0,2.0,1.0,0.0,0.0,,0.0,21.0,18.0,0.8571428571428571,0.0,51.0,36.0,0.7058823529411765,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400040,1.0,69.0,1717.0,71.0,0.0,0.0,,0.0,0.0,,1.0,2.0,0.0,24.0,10.0,0.4166666666666667,0.0,24.0,9.0,0.375,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400041,3.0,69.0,1654.0,69.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,26.0,12.0,0.46153846153846156,0.0,0.0,0.0,,0.0,51.0,33.0,0.6470588235294118,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400001,70400042,1.0,93.0,2113.0,71.0,0.0,0.0,,0.0,0.0,,1.0,2.0,0.0,23.0,10.0,0.43478260869565216,0.0,30.0,12.0,0.4,0.0,0.0,0.0,,0.0,VNM,VNM16,70402,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,1.0,3.0,5.0,-0.6172,-0.0155,1.0954,2.186,-0.9555,-1.1814764278469176,-0.5794,0.1991,-1.7613,41.270746012,28.32730592514891,2.0
70400002,70400043,1.0,64.0,2111.0,71.0,0.0,0.0,,0.0,0.0,,2.0,1.0,0.0,22.0,12.0,0.5454545454545454,0.0,25.0,19.0,0.76,0.0,0.0,0.0,,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400044,2.0,58.0,1959.0,71.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,22.0,10.0,0.45454545454545453,0.0,28.0,11.0,0.39285714285714285,0.0,0.0,0.0,,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400045,5.0,63.0,2135.0,71.0,14.0,23.0,1.6428571428571428,0.0,2.0,2309673.0,2.0,0.0,0.0,22.0,16.0,0.7272727272727273,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400046,1.0,44.0,1688.0,70.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,24.0,5.0,0.20833333333333334,0.0,30.0,12.0,0.4,0.0,0.0,0.0,,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400047,2.0,60.0,2332.0,71.0,0.0,0.0,,0.0,0.0,,1.0,2.0,0.0,23.0,11.0,0.4782608695652174,0.0,27.0,11.0,0.4074074074074074,0.0,0.0,0.0,,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400048,2.0,16.0,1469.0,71.0,0.0,0.0,,0.0,0.0,,2.0,2.0,0.0,23.0,7.0,0.30434782608695654,0.0,23.0,14.0,0.6086956521739131,0.0,0.0,0.0,,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400049,4.0,38.0,969.0,72.0,0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,22.0,14.0,0.6363636363636364,0.0,0.0,0.0,,0.0,50.0,38.0,0.76,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400050,3.0,57.0,1955.0,70.0,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,23.0,14.0,0.6086956521739131,0.0,0.0,0.0,,0.0,49.0,37.0,0.7551020408163265,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400051,7.0,57.0,1700.0,68.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,,0.0,23.0,14.0,0.6086956521739131,0.0,51.0,42.0,0.8235294117647058,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
70400002,70400052,3.0,55.0,1889.0,71.0,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,22.0,9.0,0.4090909090909091,0.0,0.0,0.0,,0.0,49.0,33.0,0.673469387755102,0.0,VNM,VNM27,70404,2.0,1.0,3.0,1.0,4.0,18.0,4.0,4.0,1.0,3.0,3.0,5.0,1.1552,-0.565,-0.587,0.8339,0.3283,-0.6564702483261577,1.0336,1.0574,0.9893,17.958077419,12.32601787056646,4.0
