CNT,CNTSCHID,STRATUM,REGION,SC001Q01TA,SC013Q01TA,SCHLTYPE,PRIVATESCH,SCHSIZE_Q,CLSIZE,TOTAT_Q,STRATIO_Q,SCRATIO_Q,SCHSEL,ABGSCIE,PROATCE,EDULEAD,NEGSCLIM,STAFFSHORT,EDUSHORT,DIGPREP,AVLRSOFT,ENCOURPG,STDTEST,TDTEST,W_NRASCHBWT,SENSCWT,vung,n_hs,sci_mean,sci_nvalid,math_mean,read_mean,qq_time_mean
VNM,70400162,VNM16,70402,3.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,1.0,3.0,3.0,5.0,0.6264,3.5479,0.4365,-1.421,-0.0252,-0.24841103476294893,0.7177,2.0707,2.0128,23.197005517,15.921899537177334,2.0,42.0,0.43638429806908063,36.0,0.48112953611771414,0.580348146230697,1515.047619047619
VNM,70400163,VNM09,70401,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,2.0,3.0,3.0,5.0,0.0385,0.6398,1.258,1.2477,-0.0784,0.8670431497884957,1.5029,2.0707,0.5813,10.599279835,7.2751057706833215,1.0,42.0,0.47541611321735544,35.0,0.5389483493030405,0.6454466320261312,1973.357142857143
VNM,70400164,VNM15,70402,2.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,1.0,3.0,3.0,5.0,0.7794,3.5479,1.8545,1.6864,-0.0252,-0.28061256795037226,2.1084,2.0707,2.0128,15.660853659,10.749255477923505,2.0,41.0,0.4456005054819283,33.0,0.5233600848951238,0.6642636702150094,2269.9024390243903
VNM,70400165,VNM15,70402,2.0,1.0,3.0,1.0,4.0,53.0,4.0,4.0,3.0,3.0,1.0,5.0,0.1467,-0.9838,-1.4549,0.1,2.9476,0.8709384965450386,0.1766,0.7383,0.2479,13.432949791,9.22007269013701,2.0,42.0,0.4224408097078904,35.0,0.44163410250631346,0.6453803676486922,1647.8333333333333
VNM,70400166,VNM27,70404,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,2.0,3.0,3.0,5.0,-0.6374,0.3905,0.8371,1.9359,2.9476,-1.1306637934893438,1.3778,2.0707,2.0128,22.568935135,15.490806242952265,4.0,41.0,0.5211890092005182,34.0,0.648092877341218,0.6426848768354225,1697.9756097560976
VNM,70400167,VNM05,70402,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,3.0,2.0,5.0,1.7572,-0.0082,-1.4549,-1.421,2.9476,-0.7518629622308366,-0.3688,2.0707,2.0128,26.060471976,17.887318101865038,2.0,41.0,0.39146824379560946,33.0,0.38463529198203533,0.5947328181504807,1967.121951219512
VNM,70400168,VNM22,70403,2.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,3.0,3.0,2.0,5.0,0.7564,-1.4172,0.8568,-0.0703,-0.1588,-0.08272895271798038,1.6494,2.0707,2.0128,17.441077525,11.971160845293664,3.0,42.0,0.45202494826855455,34.0,0.47113486321898246,0.6382716791853212,1828.2142857142858
VNM,70400169,VNM10,70401,1.0,1.0,3.0,1.0,3.0,38.0,2.0,4.0,1.0,3.0,2.0,5.0,1.8638,0.1261,0.592,0.4292,0.9676,1.7756977031981274,1.6494,2.0707,0.1778,36.818837824,25.27161691105929,1.0,41.0,0.4144739483178218,33.0,0.4342022072577629,0.5642871751475469,1578.878048780488
VNM,70400170,VNM16,70402,4.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,1.0,3.0,2.0,5.0,1.8817,-0.2093,2.4652,1.6864,0.705,0.004873067673612146,2.335,2.0707,-0.4272,15.608193968,10.71311105794023,2.0,42.0,0.44295415794776405,34.0,0.6232678563460461,0.696318159908634,1843.952380952381
VNM,70400171,VNM21,70403,1.0,1.0,3.0,1.0,2.0,43.0,1.0,4.0,4.0,2.0,1.0,5.0,-0.0552,-0.7033,0.2099,-0.2488,-0.1066,0.7833364761534461,0.1766,2.0707,2.0128,29.34648209,20.142761067333755,3.0,38.0,0.2859054129601114,31.0,0.24450193507541174,0.4327133052205409,1871.5882352941176
VNM,70400172,VNM23,70404,1.0,2.0,1.0,2.0,3.0,43.0,2.0,4.0,2.0,2.0,2.0,5.0,0.3735,0.3905,0.4299,0.4698,-0.1359,-0.10090723758184841,-0.3526,1.2219,1.1052,1.0,0.6863773656263054,4.0,42.0,0.3838756341697518,35.0,0.39352577806200617,0.5703258620841096,1504.7857142857142
VNM,70400173,VNM28,70404,2.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,1.0,3.0,3.0,5.0,1.0595,-2.2095,-1.4549,-1.421,-0.0252,0.29563906223424397,1.768,1.4133,0.9893,14.923590814,10.24321494859825,4.0,42.0,0.4573318161855712,33.0,0.6257258972756063,0.6355398919191766,1737.452380952381
VNM,70400174,VNM13,70402,4.0,2.0,1.0,2.0,4.0,53.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0207,-2.2095,-1.4549,-1.421,2.9476,0.6909734763927453,2.2725,2.0707,2.0128,13.05,8.957224621423286,2.0,42.0,0.3056729949504886,34.0,0.3395200923724028,0.47900990514054353,1416.642857142857
VNM,70400175,VNM33,70405,2.0,1.0,3.0,1.0,4.0,48.0,4.0,4.0,4.0,3.0,2.0,5.0,1.5314,-0.5218,-1.4549,-1.421,-0.0252,0.3349387828447016,0.8038,1.0341,2.0128,8.2693969112,5.675926867227762,5.0,41.0,0.4910540452652446,34.0,0.5855331292130029,0.6571669464079347,1826.658536585366
VNM,70400176,VNM11,70401,4.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,2.0,5.0,0.5081,-0.9838,-0.7828,-1.421,-0.0252,0.7127008549681303,1.166,2.0707,2.0128,20.393354662,13.997537049186494,1.0,42.0,0.4987412949369472,34.0,0.620881912962002,0.6841556756144969,1661.904761904762
VNM,70400177,VNM11,70401,3.0,1.0,3.0,1.0,3.0,33.0,2.0,4.0,3.0,3.0,3.0,5.0,1.3464,-2.2095,-0.1777,-1.421,2.9476,-0.534675739738242,2.7274,2.0707,2.0128,22.490543617,15.437000079339978,1.0,9.0,0.40932954209351724,7.0,0.525,0.4449279711884754,2210.222222222222
VNM,70400178,VNM28,70404,1.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,3.0,5.0,1.2583,0.3905,0.4492,-0.2724,-0.3937,1.5630117702908712,0.9614,-0.1117,0.0208,12.453658537,8.54790933903561,4.0,42.0,0.6039997406685388,34.0,0.7467506676756218,0.7634508333442813,1626.3809523809523
VNM,70400179,VNM11,70401,2.0,1.0,3.0,1.0,4.0,38.0,4.0,4.0,1.0,3.0,3.0,5.0,-0.7133,0.1199,-0.7828,-1.421,-0.3535,0.6068339864514133,0.5859,1.0341,-0.4272,11.899312008,8.167418428816502,1.0,41.0,0.4748302954505001,35.0,0.49467860517123163,0.6578212684190814,2169.3658536585367
VNM,70400180,VNM32,70405,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,2.0,3.0,2.0,5.0,0.0128,-0.9838,0.2099,-1.421,-0.5631,0.11498153599189853,0.0129,1.0341,0.8207,17.54453254,12.04217002595019,5.0,42.0,0.429042954974632,35.0,0.4451777345665928,0.5989581283203681,1960.8095238095239
VNM,70400181,VNM33,70405,2.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,3.0,5.0,0.3733,-0.5245,-1.4549,-1.421,0.051,-0.28000662512157665,1.0359,2.0599,-0.2436,10.008288785,6.869462890675596,5.0,42.0,0.4366739888415081,34.0,0.4498028110943712,0.5655212150055284,1870.5238095238096
VNM,70400182,VNM11,70401,2.0,1.0,3.0,1.0,3.0,43.0,1.0,4.0,4.0,2.0,3.0,5.0,0.6779,-0.5245,0.3663,-1.421,0.0867,-1.154814943379911,1.8205,1.3786,0.8207,35.432029609,24.31974314181867,1.0,38.0,0.3816091348265261,30.0,0.30429199340964047,0.49138584006883196,1746.9473684210527
VNM,70400183,VNM01,70402,1.0,1.0,3.0,2.0,3.0,43.0,2.0,4.0,1.0,3.0,2.0,5.0,0.7748,-0.0443,0.4299,0.4292,-3.4403,0.9551645497476272,1.6494,1.3356,1.6334,1.0795454545,0.7409755651335627,2.0,42.0,0.43050298692498185,35.0,0.384614856269928,0.6408117374024767,2020.7857142857142
VNM,70400184,VNM27,70404,1.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,2.0,3.0,2.0,5.0,0.2788,-0.5312,-0.6142,0.4292,-0.1869,-0.34354405888385825,0.1766,,2.0128,9.9707534328,6.843699474514706,4.0,42.0,0.5053496695120736,34.0,0.5852227000053087,0.6998103978878693,1578.7142857142858
VNM,70400185,VNM27,70404,3.0,1.0,3.0,1.0,4.0,43.0,4.0,4.0,4.0,3.0,3.0,5.0,0.237,0.8426,1.5435,1.2477,-0.8098,-0.10913074740121724,0.7055,1.4133,-0.3058,7.3816627624,5.066606240797908,4.0,42.0,0.4872368232181896,35.0,0.6649735008874471,0.6878000487999594,1690.6190476190477
VNM,70400186,VNM10,70401,1.0,1.0,3.0,1.0,4.0,43.0,3.0,4.0,1.0,3.0,3.0,5.0,0.9518,-0.7677,0.1827,-0.9434,2.9476,2.589132669225593,0.9614,2.0707,2.0128,23.222338889,15.939287790313124,1.0,42.0,0.414149291012645,35.0,0.46528883477169514,0.6052796107739259,1874.9285714285713
